Dog Name,Adaptability,Adapts Well To Apartment Living,Good For Novice Dog Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,All-around friendliness,Best Family Dogs,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Health And Grooming Needs,Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Trainability,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Exercise needs,High Energy Level,Intensity,Exercise Needs,Potential For Playfulness,Officially Recognized,Temperament,Height,Weight,Life Expectancy,FeaturedImageURL,AdditionalImageURLs
Bolognese,3,5,3,5,2,2,3,5,5,5,5,5,2,1,1,1,5,3,1,4,5,4,4,5,4,1,3,3,3,4,3,Yes,playful / easy-going / devoted,10-12 inches,6-10 pounds,12-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bolognese/Bolognese-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bolognese/Bolognese-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bolognese/Bolognese-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bolognese/Bolognese-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bolognese/Bolognese-4.jpg
Bolonoodle,3,3,4,3,2,3,2,4,5,4,4,4,2,3,1,3,4,2,1,3,3,4,1,4,4,3,4,4,3,3,5,No,"Affectionate, Intelligent, Playful",10-14 inches,10-30 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bolonoodle/Bolonoodle-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bolonoodle/Bolonoodle-1.jpg
Borador,3,3,3,2,2,3,3,4,5,4,4,4,4,4,3,3,3,4,4,3,4,5,3,3,2,3,4,4,3,4,5,No,"Friendly, Intelligent, Energetic",18-24 inches,40-70 pounds,10-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Borador/Borador-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Borador/Borador-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Borador/Borador-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Borador/Borador-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Borador/Borador-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Borador/Borador-5.jpg
Border Collie,3,2,2,5,1,4,4,4,5,4,3,5,3,3,1,3,2,3,3,4,5,5,3,3,2,3,5,5,3,5,5,Yes,energetic / affectionate / smart,19-22 inches (male),30-55 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Border Collie/Border Collie-featured.jpg,
Border Sheepdog,3,2,3,2,2,4,2,4,5,4,3,3,3,3,1,3,4,2,3,4,4,5,4,3,4,2,4,5,3,5,4,No,"Intelligent, Energetic, Loyal",18-22 inches (varies by individual),30-45 pounds (varies by individual),12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Border Sheepdog/Border Sheepdog-featured.jpg,
Border Terrier,3,4,3,3,1,4,3,4,5,4,2,5,3,3,1,2,4,5,2,4,3,5,5,5,1,4,5,4,4,5,5,Yes,affectionate / happy / plucky,12-15 inches,13-15.5 pounds (male),12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Border Terrier/Border Terrier-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Border Terrier/Border Terrier-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Border Terrier/Border Terrier-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Border Terrier/Border Terrier-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Border Terrier/Border Terrier-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Border Terrier/Border Terrier-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Border Terrier/Border Terrier-6.jpg
Border Aussie,2,1,1,4,2,3,3,4,5,4,4,3,2,3,1,3,3,2,3,3,3,5,3,1,3,3,5,5,5,5,5,No,"Intelligent, Energetic, Loyal",18-22 inches,30-65 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Border Aussie/Border Aussie-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Border Aussie/Border Aussie-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Border Aussie/Border Aussie-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Border Aussie/Border Aussie-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Border Aussie/Border Aussie-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Border Aussie/Border Aussie-5.jpg
Bordernese,3,1,2,4,2,4,2,4,5,4,5,3,3,4,2,2,3,2,3,4,5,5,3,2,3,3,5,5,5,5,5,No,"Friendly, Loyal, Intelligent",23-28 inches,70-100 pounds,10-13 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bordernese/Bordernese-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bordernese/Bordernese-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bordernese/Bordernese-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bordernese/Bordernese-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bordernese/Bordernese-4.jpg
Bordoodle,4,4,4,3,3,4,4,4,4,5,3,2,3,2,2,4,4,3,3,3,4,5,3,2,2,3,3,3,2,3,4,No,"Intelligent, Friendly, Energetic",18-22 inches,30-60 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bordoodle/Bordoodle-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bordoodle/Bordoodle-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bordoodle/Bordoodle-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bordoodle/Bordoodle-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bordoodle/Bordoodle-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bordoodle/Bordoodle-5.jpg
Borzoi,4,5,3,5,1,4,3,4,4,3,4,4,4,5,1,4,4,2,5,4,3,4,3,5,2,4,2,2,2,2,3,Yes,loyal / affectionate / regally dignified,28 inches & up (male),75-105 pounds (male),9-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Borzoi/Borzoi-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Borzoi/Borzoi-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Borzoi/Borzoi-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Borzoi/Borzoi-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Borzoi/Borzoi-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Borzoi/Borzoi-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Borzoi/Borzoi-6.jpg
BoShih,3,5,4,3,1,2,2,3,4,2,3,4,3,2,1,5,3,3,2,2,2,3,1,1,2,2,3,3,2,3,5,No,"Affectionate, Playful, Friendly",9-12 inches,10-16 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boshih/Boshih-featured.jpg,
Bossie,3,2,2,3,5,3,3,4,4,4,4,4,3,2,1,3,3,3,3,4,4,4,3,3,3,5,5,4,4,5,5,No,"Friendly, Intelligent, Loyal",12-15 inches,20-30 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bossie/Bossie-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bossie/Bossie-1.jpg
Boston Boxer,3,4,3,3,2,3,3,4,4,4,4,2,4,3,3,4,4,4,3,3,3,4,3,3,3,2,4,4,3,4,5,No,"Affectionate, Energetic, Intelligent",15-25 inches,50-70 pounds,10-13 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boston Boxer/Boston Boxer-featured.jpg,
Boston Terrier,4,5,4,5,3,3,2,5,4,5,5,4,3,2,1,5,4,3,2,3,4,4,2,2,3,5,5,4,5,4,5,Yes,friendly / bright / amusing,10-12 inches,12-25 pounds,11-13 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boston Terrier/Boston Terrier-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boston Terrier/Boston Terrier-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boston Terrier/Boston Terrier-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boston Terrier/Boston Terrier-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boston Terrier/Boston Terrier-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boston Terrier/Boston Terrier-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boston Terrier/Boston Terrier-6.jpg
Boston Terrier Pekingese Mix,3,4,3,3,2,2,2,4,4,4,3,3,3,2,2,4,4,4,1,3,2,4,3,2,4,2,3,3,3,3,4,No,"Affectionate, Playful, Stubborn",10-15 inches,10-20 pounds,10-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boston Terrier Pekingese Mix/Boston Terrier Pekingese Mix-featured.jpg,
Bouvier des Flandres,3,3,2,4,2,4,2,4,5,5,2,2,3,1,1,2,3,4,4,3,5,4,2,2,4,2,4,4,5,4,4,Yes,strong-willed / courageous / affectionate,24.5-27.5 inches (male),70-110 pounds,10-12 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bouvier Des Flandres/Bouvier Des Flandres-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bouvier Des Flandres/Bouvier Des Flandres-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bouvier Des Flandres/Bouvier Des Flandres-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bouvier Des Flandres/Bouvier Des Flandres-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bouvier Des Flandres/Bouvier Des Flandres-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bouvier Des Flandres/Bouvier Des Flandres-5.jpg
Boxador,2,2,2,3,1,2,2,4,5,4,4,4,4,4,2,5,2,4,4,4,5,5,3,2,3,3,5,5,5,5,5,No,"Friendly, Energetic, Intelligent",21-25 inches,60-100 pounds,10-12 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boxador/Boxador-featured.jpg,
Boxer,3,4,3,4,1,2,1,4,5,4,3,4,3,4,2,5,2,4,3,3,4,4,2,3,3,3,5,5,5,5,5,Yes,active / bright / fun-loving,23-25 inches (male),65-80 pounds (male),10-12 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boxer/Boxer-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boxer/Boxer-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boxer/Boxer-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boxer/Boxer-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boxer/Boxer-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boxer/Boxer-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boxer/Boxer-6.jpg
Boxerdoodle,3,1,3,3,2,3,3,4,4,3,4,3,3,2,2,3,3,4,3,3,4,4,2,3,2,4,4,4,4,4,5,No,"Friendly, Intelligent, Energetic",20-26 inches,50-80 pounds,10-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boxerdoodle/Boxerdoodle-featured.jpg,
Boxmatian,2,1,2,3,2,2,4,3,4,3,2,1,4,3,2,3,5,4,5,4,3,4,4,3,3,4,5,5,4,5,4,No,"Affectionate, Energetic, Loyal",20-25 inches,40-90 pounds,10-13 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boxmatian/Boxmatian-featured.jpg,
Boxweiler,3,2,3,4,2,3,2,4,5,4,4,2,3,3,2,3,3,4,4,3,4,4,2,2,3,1,4,4,3,4,4,No,"Loyal, Protective, Intelligent",23-27 inches,70-100 pounds,10-12 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boxweiler/Boxweiler-featured.jpg,
Boykin Spaniel,3,1,3,4,3,3,4,4,5,5,4,3,3,4,1,1,2,4,3,4,4,4,4,2,3,4,5,5,5,5,4,Yes,friendly / eager / lovable,15.5-18 inches (male),30-40 pounds (male),10-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boykin Spaniel/Boykin Spaniel-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boykin Spaniel/Boykin Spaniel-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boykin Spaniel/Boykin Spaniel-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boykin Spaniel/Boykin Spaniel-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boykin Spaniel/Boykin Spaniel-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Boykin Spaniel/Boykin Spaniel-5.jpg
Bracco Italiano,3,1,2,4,3,3,3,4,5,4,5,3,3,3,2,5,2,3,4,3,3,4,2,5,2,3,4,4,4,5,4,Yes,intelligent / affectionate / enthusiastic,21-27 inches,55-90 pounds,10-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bracco Italiano/Bracco Italiano-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bracco Italiano/Bracco Italiano-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bracco Italiano/Bracco Italiano-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bracco Italiano/Bracco Italiano-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bracco Italiano/Bracco Italiano-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bracco Italiano/Bracco Italiano-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bracco Italiano/Bracco Italiano-6.jpg
Braque du Bourbonnais,2,1,3,3,2,2,3,4,5,4,4,4,3,2,1,4,4,1,3,3,4,4,3,4,3,2,4,5,2,5,3,Yes,affectionate / gentle / adaptable,19-22.5 inches,35-53 pounds,10-12 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Braque Du Bourbonnais/Braque Du Bourbonnais-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Braque Du Bourbonnais/Braque Du Bourbonnais-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Braque Du Bourbonnais/Braque Du Bourbonnais-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Braque Du Bourbonnais/Braque Du Bourbonnais-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Braque Du Bourbonnais/Braque Du Bourbonnais-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Braque Du Bourbonnais/Braque Du Bourbonnais-5.jpg
Braque Francais Pyrenean,2,1,2,4,1,3,3,4,4,5,3,3,4,2,3,4,4,5,4,4,3,4,4,5,4,5,4,4,2,4,4,Yes,friendly / smart / willing to please,18.5-23 inches,40-55 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Braque Francais Pyrenean/Braque Francais Pyrenean-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Braque Francais Pyrenean/Braque Francais Pyrenean-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Braque Francais Pyrenean/Braque Francais Pyrenean-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Braque Francais Pyrenean/Braque Francais Pyrenean-3.jpg
Briard,3,3,3,4,3,4,3,4,4,5,5,2,2,1,1,1,3,3,4,4,4,4,2,3,4,5,4,4,4,4,4,Yes,confident / smart / faithful,23-27 inches (male),55-100 pounds,12 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Briard/Briard-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Briard/Briard-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Briard/Briard-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Briard/Briard-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Briard/Briard-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Briard/Briard-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Briard/Briard-6.jpg
Brittany,3,1,3,5,1,4,3,5,5,5,5,4,4,3,5,3,4,3,3,4,3,5,3,5,3,4,5,5,3,5,5,Yes,bright / fun-loving / upbeat,17.5-20.5 inches,30-40 pounds,12-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Brittany/Brittany-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Brittany/Brittany-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Brittany/Brittany-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Brittany/Brittany-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Brittany/Brittany-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Brittany/Brittany-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Brittany/Brittany-8.jpg
Broholmer,3,2,4,3,3,3,3,4,5,4,3,3,4,3,2,4,4,3,5,3,4,4,3,2,3,2,3,3,3,3,3,Yes,friendly / loving / watchful,27.5-29.5 inches,90-150 pounds,8-10 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Broholmer/Broholmer-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Broholmer/Broholmer-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Broholmer/Broholmer-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Broholmer/Broholmer-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Broholmer/Broholmer-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Broholmer/Broholmer-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Broholmer/Broholmer-6.jpg
Brusselranian,3,4,3,3,3,3,2,4,5,4,4,4,3,3,2,3,3,2,2,3,4,4,2,3,3,3,4,4,3,3,4,No,"Affectionate, Playful, Alert",10-12 inches,10-15 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Brusselranian/Brusselranian-featured.jpg,
Brussels Griffon,3,5,2,5,1,1,2,4,5,4,4,3,3,3,3,3,3,3,1,3,3,4,3,1,4,5,4,5,3,4,5,Yes,alert / curious / loyal,7-10 inches,8-10 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Brussels Griffon/Brussels Griffon-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Brussels Griffon/Brussels Griffon-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Brussels Griffon/Brussels Griffon-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Brussels Griffon/Brussels Griffon-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Brussels Griffon/Brussels Griffon-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Brussels Griffon/Brussels Griffon-5.jpg
Bugg,3,5,4,3,2,2,3,3,4,3,2,3,3,2,2,4,4,4,2,3,3,4,4,3,4,2,3,4,3,2,4,No,"Affectionate, Playful, Friendly",10-15 inches,15-30 pounds,10-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bugg/Bugg-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bugg/Bugg-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bugg/Bugg-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bugg/Bugg-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bugg/Bugg-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bugg/Bugg-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bugg/Bugg-6.jpg
Bull Arab,3,2,1,2,3,4,4,2,3,3,1,2,3,2,2,4,4,3,4,3,2,4,3,5,2,4,4,4,5,4,2,No,"Gentle, Loyal, Intelligent",22-28 inches,60-100 pounds,10-12 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bull Arab/Bull Arab-featured.jpg,
Bull Terrier,3,4,3,5,2,1,4,4,5,3,1,5,3,3,1,5,4,5,2,4,5,4,4,4,1,5,5,4,5,5,5,Yes,playful / charming / mischievous,21-22 inches,50-70 pounds,12-13 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bull Terrier/Bull Terrier-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bull Terrier/Bull Terrier-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bull Terrier/Bull Terrier-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bull Terrier/Bull Terrier-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bull Terrier/Bull Terrier-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bull Terrier/Bull Terrier-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bull Terrier/Bull Terrier-6.jpg
Bullador,2,2,2,4,2,2,2,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,2,4,4,3,4,4,4,4,4,No,"Affectionate, Loyal, Playful",20-24 inches,55-80 pounds,10-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bullador/Bullador-featured.jpg,
Bullboxer Pit,2,1,2,3,2,2,2,3,4,4,2,2,4,4,4,4,4,4,3,4,2,4,4,5,4,3,5,5,5,5,4,No,"Loyal, Energetic, Intelligent",18-25 inches,60-90 pounds,10-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bullboxer Pit/Bullboxer Pit-featured.jpg,
Bulldog,3,5,4,4,3,1,1,4,5,4,2,5,4,3,5,5,4,5,2,2,3,2,2,2,4,1,3,2,3,3,4,Yes,friendly / courageous / calm,14-15 inches,50 pounds (male),8-10 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bulldog/Bulldog-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bulldog/Bulldog-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bulldog/Bulldog-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bulldog/Bulldog-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bulldog/Bulldog-4.jpg
Bullmastiff,3,3,2,4,2,4,2,4,5,5,4,3,4,1,5,5,2,5,5,3,3,3,3,3,4,3,4,2,4,3,5,Yes,loyal / affectionate / brave,25-27 inches (male),110-130 pounds (male),7-9 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bullmastiff/Bullmastiff-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bullmastiff/Bullmastiff-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bullmastiff/Bullmastiff-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bullmastiff/Bullmastiff-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bullmastiff/Bullmastiff-4.jpg
Bullmatian,2,2,1,3,3,2,2,4,4,5,4,3,3,2,3,4,4,4,3,3,1,4,3,3,2,3,4,5,4,4,4,No,"Affectionate, Playful, Loyal",18-24 inches,40-70 pounds,10-13 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bullmatian/Bullmatian-featured.jpg,
Bull Pei,2,4,2,3,3,1,1,2,3,2,2,2,4,4,3,4,3,4,3,2,3,2,4,2,2,1,2,2,2,2,2,No,"Loyal, Protective, Friendly",18-24 inches,40-70 pounds,10-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Bull Pei/Bull Pei-featured.jpg,
Cairn Terrier,4,5,4,3,1,4,4,5,5,5,4,4,3,3,1,5,4,3,1,4,2,5,3,4,4,3,5,5,4,4,5,Yes,alert / cheerful / busy,10 inches (male),14 pounds (male),13-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Cairn Terrier/Cairn Terrier-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Cairn Terrier/Cairn Terrier-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Cairn Terrier/Cairn Terrier-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Cairn Terrier/Cairn Terrier-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Cairn Terrier/Cairn Terrier-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Cairn Terrier/Cairn Terrier-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Cairn Terrier/Cairn Terrier-6.jpg
